"id","name","unit","formula","interpretation","sources"
"total_cost","总成本","万元","人工成本 + 市场费 + 运作费 + 品牌费","累计卡计入品牌费；月度趋势因品牌费未分月，暂不分摊品牌费。","[""各部门费率计算"",""OTC事业部品牌费用""]"
"fee_rate","费率/总成本率","%","总成本 ÷ 实际销额 × 100%","暂定：<20%正常，20%—30%关注，≥30%严重预警；阈值可配置。","[""各部门费率计算""]"
"actual_sales","实际销额","万元","新增费率计算表中对应部门、月份“实际销额”之和","不使用考核口径；费率表当前不完整时保留数据质量提示。","[""各部门费率计算""]"
"human_efficiency","人效","万元/人","实际销额 ÷ 当月发薪人数","人数为人工成本表的发薪人数，不等同月末在岗人数。","[""各部门费率计算"",""2026年人工成本""]"
"labor_cost","人工成本","万元","人工成本明细“人工成本”字段合计 ÷ 10,000","源表单位为元；按业务口径应包含实际发放奖金，但当前快照的实际奖金字段合计为0。","[""2026年人工成本""]"
"paid_headcount","发薪人数","人","人工成本表当月记录“人数”字段之和","包含当月仍有奖金等发放的已离职人员。","[""2026年人工成本""]"
"hire_rate","入职率","%","当月入职人数 ÷ 当月发薪人数 × 100%","入职人数按入职时间落在2026年对应月份统计。","[""2026年人工成本""]"
"turnover_rate","离职率","%","当月离职人数 ÷ 当月发薪人数 × 100%","离职人数按离职时间落在2026年对应月份统计。","[""2026年人工成本""]"
"budget_execution","人工成本预算执行率","%","累计实际人工成本 ÷ 全年人工成本预算 × 100%","与时间进度50%对照判断执行快慢。","[""2026年人工成本"",""26年预测人工成本""]"
"sales_completion","销售任务完成率","%","累计实际销额 ÷ 对应期间销售任务 × 100%","先汇总分子分母再相除，不平均月度完成率。","[""各部门费率计算"",""OTC事业部大区明细 全年""]"
